Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;14.01.2022;Totalt;106;100;24;24;0;106;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;15.01.2022;1;10;100;24;24;0;10;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;15.01.2022;2;43;100;24;24;0;43;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;15.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;10;100;24;24;0;10;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;15.01.2022;Totalt i retning Vervarslinga i Nord-Norge;43;100;24;24;0;43;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;15.01.2022;Totalt;53;100;24;24;0;53;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;16.01.2022;1;10;100;24;24;0;10;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;16.01.2022;2;28;100;24;24;0;28;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;16.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;10;100;24;24;0;10;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;16.01.2022;Totalt i retning Vervarslinga i Nord-Norge;28;100;24;24;0;28;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;16.01.2022;Totalt;38;100;24;24;0;38;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;17.01.2022;1;55;100;24;24;0;55;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;17.01.2022;2;89;100;24;24;0;89;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;17.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;55;100;24;24;0;55;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;17.01.2022;Totalt i retning Vervarslinga i Nord-Norge;89;100;24;24;0;89;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;17.01.2022;Totalt;144;100;24;24;0;144;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;18.01.2022;1;27;100;24;24;0;27;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;18.01.2022;2;61;100;24;24;0;61;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;18.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;27;100;24;24;0;27;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;18.01.2022;Totalt i retning Vervarslinga i Nord-Norge;61;100;24;24;0;61;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;18.01.2022;Totalt;88;100;24;24;0;88;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;19.01.2022;1;29;100;24;24;0;29;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;19.01.2022;2;84;100;24;24;0;84;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;19.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;29;100;24;24;0;29;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;19.01.2022;Totalt i retning Vervarslinga i Nord-Norge;84;100;24;24;0;84;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;19.01.2022;Totalt;113;100;24;24;0;113;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;20.01.2022;1;30;100;24;24;0;30;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;20.01.2022;2;85;100;24;24;0;85;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;20.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;30;100;24;24;0;30;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;20.01.2022;Totalt i retning Vervarslinga i Nord-Norge;85;100;24;24;0;85;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;20.01.2022;Totalt;115;100;24;24;0;115;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;21.01.2022;1;45;100;24;24;0;45;0;-;-;-;-;-;-;-;-
